ensembl_gene_id,mgi_symbol,chromosome_name,gene_biotype
ENSMUSG00000015839,Nfe2l2,2,protein_coding
ENSMUSG00000015843,Rxrg,1,protein_coding
ENSMUSG00000015846,Rxra,2,protein_coding
ENSMUSG00000015850,Adamtsl4,3,protein_coding
ENSMUSG00000015852,Fcrls,3,protein_coding
ENSMUSG00000015869,Prpsap1,11,protein_coding
ENSMUSG00000015879,Fam184b,5,protein_coding
ENSMUSG00000015880,Ncapg,5,protein_coding
ENSMUSG00000015882,Lcorl,5,protein_coding
ENSMUSG00000015889,Lta4h,10,protein_coding
ENSMUSG00000015932,Dstn,2,protein_coding
ENSMUSG00000015937,Macroh2a1,13,protein_coding
ENSMUSG00000015942,Gtf2ird2,5,protein_coding
ENSMUSG00000015943,Bola1,3,protein_coding
ENSMUSG00000015944,Castor2,5,protein_coding
ENSMUSG00000015947,Fcgr1,3,protein_coding
ENSMUSG00000015950,Ncf1,5,protein_coding
ENSMUSG00000015957,Wnt11,7,protein_coding
ENSMUSG00000015961,Adss,1,protein_coding
ENSMUSG00000015962,1700016C15Rik,1,protein_coding
ENSMUSG00000015968,Cacna1d,14,protein_coding
ENSMUSG00000015970,Chdh,14,protein_coding
ENSMUSG00000015971,Actr8,14,protein_coding
ENSMUSG00000015980,Lrrc27,7,protein_coding
ENSMUSG00000015981,Stk32c,7,protein_coding
ENSMUSG00000015994,Fnta,8,protein_coding
ENSMUSG00000016018,Mtrex,13,protein_coding
ENSMUSG00000016024,Lbp,2,protein_coding
ENSMUSG00000016028,Celsr1,15,protein_coding
ENSMUSG00000016087,Fli1,9,protein_coding
ENSMUSG00000016128,Stard13,5,protein_coding
ENSMUSG00000016150,Tenm1,X,protein_coding
ENSMUSG00000016181,Utp25,1,protein_coding
ENSMUSG00000016194,Hsd11b1,1,protein_coding
ENSMUSG00000016200,Syt14,1,protein_coding
ENSMUSG00000016206,H2-M3,17,protein_coding
ENSMUSG00000016239,Lonrf3,X,protein_coding
ENSMUSG00000016252,Atp5e,2,protein_coding
ENSMUSG00000016253,Nelfcd,2,protein_coding
ENSMUSG00000016256,Ctsz,2,protein_coding
ENSMUSG00000016257,Prelid3b,2,protein_coding
ENSMUSG00000016262,Sertad4,1,protein_coding
ENSMUSG00000016308,Ube2a,X,protein_coding
ENSMUSG00000016319,Slc25a5,X,protein_coding
ENSMUSG00000016327,Atp1b4,X,protein_coding
ENSMUSG00000016344,Ppdpf,2,protein_coding
ENSMUSG00000016349,Eef1a2,2,protein_coding
ENSMUSG00000016356,Col20a1,2,protein_coding
ENSMUSG00000016382,Pls3,X,protein_coding
ENSMUSG00000016386,Mpped2,2,protein_coding
ENSMUSG00000016409,Nkap,X,protein_coding
ENSMUSG00000016427,Ndufa1,X,protein_coding
ENSMUSG00000016458,Wt1,2,protein_coding
ENSMUSG00000016477,E2f3,13,protein_coding
ENSMUSG00000016481,Cr1l,1,protein_coding
ENSMUSG00000016487,Ppfibp1,6,protein_coding
ENSMUSG00000016493,Cd46,1,protein_coding
ENSMUSG00000016494,Cd34,1,protein_coding
ENSMUSG00000016495,Plgrkt,19,protein_coding
ENSMUSG00000016496,Cd274,19,protein_coding
ENSMUSG00000016498,Pdcd1lg2,19,protein_coding
ENSMUSG00000016503,Gtf3a,5,protein_coding
ENSMUSG00000016510,Mtif3,5,protein_coding
ENSMUSG00000016520,Lnx2,5,protein_coding
ENSMUSG00000016528,Mapkapk2,1,protein_coding
ENSMUSG00000016529,Il10,1,protein_coding
ENSMUSG00000016534,Lamp2,X,protein_coding
ENSMUSG00000016541,Atxn10,15,protein_coding
ENSMUSG00000016552,Foxred2,15,protein_coding
ENSMUSG00000016554,Eif3d,15,protein_coding
ENSMUSG00000016559,H3f3b,11,protein_coding
ENSMUSG00000016619,Nup50,15,protein_coding
ENSMUSG00000016624,Phf21b,15,protein_coding
ENSMUSG00000016637,Ift27,15,protein_coding
ENSMUSG00000016664,Pacsin2,15,protein_coding
ENSMUSG00000016756,Cmah,13,protein_coding
ENSMUSG00000016757,Ttll12,15,protein_coding
ENSMUSG00000016758,Bik,15,protein_coding
ENSMUSG00000016763,Scube1,15,protein_coding
ENSMUSG00000016831,Tox4,14,protein_coding
ENSMUSG00000016833,Mrps18c,5,protein_coding
ENSMUSG00000016918,Sulf1,1,protein_coding
ENSMUSG00000016921,Srsf6,2,protein_coding
ENSMUSG00000016933,Plcg1,2,protein_coding
ENSMUSG00000016940,Kctd2,11,protein_coding
ENSMUSG00000016942,Tmprss6,15,protein_coding
ENSMUSG00000016946,Kctd5,17,protein_coding
ENSMUSG00000016984,Etaa1,11,protein_coding
ENSMUSG00000016995,Matn4,2,protein_coding
ENSMUSG00000017002,Slpi,2,protein_coding
ENSMUSG00000017009,Sdc4,2,protein_coding
ENSMUSG00000017057,Il13ra1,X,protein_coding
ENSMUSG00000017119,Nbr1,11,protein_coding
ENSMUSG00000017132,Cyth1,11,protein_coding
ENSMUSG00000017144,Rnd3,2,protein_coding
ENSMUSG00000017146,Brca1,11,protein_coding
ENSMUSG00000017167,Cntnap1,11,protein_coding
ENSMUSG00000017176,Nt5c3b,11,protein_coding
ENSMUSG00000017188,Coa3,11,protein_coding
ENSMUSG00000017195,Zpbp2,11,protein_coding
ENSMUSG00000017210,Med24,11,protein_coding
ENSMUSG00000017221,Psmd3,11,protein_coding
ENSMUSG00000017264,Exosc10,4,protein_coding
ENSMUSG00000017286,Glod4,11,protein_coding
ENSMUSG00000017288,Vps53,11,protein_coding
ENSMUSG00000017291,Taok1,11,protein_coding
ENSMUSG00000017299,Dnttip1,2,protein_coding
ENSMUSG00000017300,Tnnc2,2,protein_coding
ENSMUSG00000017307,Acot8,2,protein_coding
ENSMUSG00000017309,Cd300lg,11,protein_coding
ENSMUSG00000017314,Mpp2,11,protein_coding
ENSMUSG00000017344,Vtn,11,protein_coding
ENSMUSG00000017376,Nlk,11,protein_coding
ENSMUSG00000017386,Traf4,11,protein_coding
ENSMUSG00000017390,Aldoc,11,protein_coding
ENSMUSG00000017400,Stac2,11,protein_coding
ENSMUSG00000017404,Rpl19,11,protein_coding
ENSMUSG00000017405,Nek8,11,protein_coding
ENSMUSG00000017412,Cacnb4,2,protein_coding
ENSMUSG00000017417,Plxdc1,11,protein_coding
ENSMUSG00000017418,Arl5b,2,protein_coding
ENSMUSG00000017421,Zfp207,11,protein_coding
ENSMUSG00000017428,Psmd11,11,protein_coding
ENSMUSG00000017446,C1qtnf1,11,protein_coding
ENSMUSG00000017453,Pipox,11,protein_coding
ENSMUSG00000017466,Timp2,11,protein_coding
ENSMUSG00000017478,Zc3h18,8,protein_coding
ENSMUSG00000017485,Top2b,14,protein_coding
ENSMUSG00000017491,Rarb,14,protein_coding
ENSMUSG00000017493,Igfbp4,11,protein_coding
ENSMUSG00000017499,Cdc6,11,protein_coding
ENSMUSG00000017548,Suz12,11,protein_coding
ENSMUSG00000017550,Atad5,11,protein_coding
ENSMUSG00000017561,Crlf3,11,protein_coding
ENSMUSG00000017607,Tns4,11,protein_coding
ENSMUSG00000017615,Tnfaip1,11,protein_coding
ENSMUSG00000017631,Abr,11,protein_coding
ENSMUSG00000017639,Rab11fip4,11,protein_coding
ENSMUSG00000017652,Cd40,2,protein_coding
ENSMUSG00000017664,Slc35c2,2,protein_coding
ENSMUSG00000017667,Zfp334,2,protein_coding
ENSMUSG00000017670,Elmo2,2,protein_coding
ENSMUSG00000017677,Wsb1,11,protein_coding
ENSMUSG00000017679,Ttpal,2,protein_coding
ENSMUSG00000017686,Rhot1,11,protein_coding
ENSMUSG00000017692,Rhbdl3,11,protein_coding
ENSMUSG00000017697,Ada,2,protein_coding
ENSMUSG00000017707,Serinc3,2,protein_coding
ENSMUSG00000017713,Tha1,11,protein_coding
ENSMUSG00000017715,Pgs1,11,protein_coding
ENSMUSG00000017716,Birc5,11,protein_coding
ENSMUSG00000017718,Afmid,11,protein_coding
ENSMUSG00000017721,Pigt,2,protein_coding
ENSMUSG00000017734,Dbndd2,2,protein_coding
ENSMUSG00000017737,Mmp9,2,protein_coding
ENSMUSG00000017740,Slc12a5,2,protein_coding
ENSMUSG00000017747,Ghdc,11,protein_coding
ENSMUSG00000017754,Pltp,2,protein_coding
ENSMUSG00000017756,Slc12a7,13,protein_coding
ENSMUSG00000017760,Ctsa,2,protein_coding
ENSMUSG00000017764,Zswim1,2,protein_coding
ENSMUSG00000017765,Slc12a4,8,protein_coding
ENSMUSG00000017774,Myo1c,11,protein_coding
ENSMUSG00000017776,Crk,11,protein_coding
ENSMUSG00000017778,Cox7c,13,protein_coding
ENSMUSG00000017781,Pitpna,11,protein_coding
ENSMUSG00000017801,Mlx,11,protein_coding
ENSMUSG00000017802,Retreg3,11,protein_coding
ENSMUSG00000017817,Jph2,2,protein_coding
ENSMUSG00000017830,Dhx58,11,protein_coding
ENSMUSG00000017831,Rab5a,17,protein_coding
ENSMUSG00000017837,Nkiras2,11,protein_coding
ENSMUSG00000017843,Ppp2r5c,12,protein_coding
ENSMUSG00000017858,Ift52,2,protein_coding
ENSMUSG00000017861,Mybl2,2,protein_coding
ENSMUSG00000017897,Eya2,2,protein_coding
ENSMUSG00000017929,B4galt5,2,protein_coding
ENSMUSG00000017969,Ptgis,2,protein_coding
ENSMUSG00000017978,Cadps2,6,protein_coding
ENSMUSG00000017999,Ddx27,2,protein_coding
ENSMUSG00000018001,Cyth3,5,protein_coding
ENSMUSG00000018008,Cyth4,15,protein_coding
ENSMUSG00000018012,Rac3,11,protein_coding
ENSMUSG00000018040,Rrp7a,15,protein_coding
ENSMUSG00000018042,Cyb5r3,15,protein_coding
ENSMUSG00000018068,Ints2,11,protein_coding
ENSMUSG00000018076,Med13l,5,protein_coding
ENSMUSG00000018102,H2bc4,13,protein_coding
ENSMUSG00000018126,Baiap2l2,15,protein_coding
ENSMUSG00000018143,Mafk,5,protein_coding
ENSMUSG00000018160,Med1,11,protein_coding
ENSMUSG00000018166,Erbb3,10,protein_coding
ENSMUSG00000018167,Stard3,11,protein_coding
ENSMUSG00000018168,Ikzf3,11,protein_coding
ENSMUSG00000018169,Mfng,15,protein_coding
ENSMUSG00000018171,Vmp1,11,protein_coding
ENSMUSG00000018189,Uchl5,1,protein_coding
ENSMUSG00000018196,Glrx2,1,protein_coding
ENSMUSG00000018199,Ro60,1,protein_coding
ENSMUSG00000018209,Stk4,2,protein_coding
ENSMUSG00000018217,Pmp22,11,protein_coding
ENSMUSG00000018238,Gdf9,11,protein_coding
ENSMUSG00000018239,Zcchc10,11,protein_coding
ENSMUSG00000018263,Tbx5,5,protein_coding
ENSMUSG00000018286,Psmb6,11,protein_coding
ENSMUSG00000018287,Spag7,11,protein_coding
ENSMUSG00000018293,Pfn1,11,protein_coding
ENSMUSG00000018322,Tomm34,2,protein_coding
ENSMUSG00000018326,Ywhab,2,protein_coding
ENSMUSG00000018334,Ksr1,11,protein_coding
ENSMUSG00000018339,Gpx3,11,protein_coding
ENSMUSG00000018340,Anxa6,11,protein_coding
ENSMUSG00000018341,Il12rb2,6,protein_coding
ENSMUSG00000018347,Zkscan6,11,protein_coding
ENSMUSG00000018362,Kpna2,11,protein_coding
ENSMUSG00000018363,Smurf2,11,protein_coding
ENSMUSG00000018372,Cep95,11,protein_coding
ENSMUSG00000018377,Vezf1,11,protein_coding
ENSMUSG00000018378,Cuedc1,11,protein_coding
ENSMUSG00000018379,Srsf1,11,protein_coding
ENSMUSG00000018387,Shroom1,11,protein_coding
ENSMUSG00000018395,Kif3a,11,protein_coding
ENSMUSG00000018398,Septin8,11,protein_coding
ENSMUSG00000018401,Mtmr4,11,protein_coding
ENSMUSG00000018405,Mrm1,11,protein_coding
ENSMUSG00000018411,Mapt,11,protein_coding
ENSMUSG00000018412,Kansl1,11,protein_coding
ENSMUSG00000018415,Gid4,11,protein_coding
ENSMUSG00000018417,Myo1b,1,protein_coding
ENSMUSG00000018425,Dhx40,11,protein_coding
ENSMUSG00000018427,Ypel2,11,protein_coding
ENSMUSG00000018428,Akap1,11,protein_coding
ENSMUSG00000018433,Nol11,11,protein_coding
ENSMUSG00000018442,Derl2,11,protein_coding
ENSMUSG00000018446,C1qbp,11,protein_coding
ENSMUSG00000018449,Rpain,11,protein_coding
ENSMUSG00000018451,6330403K07Rik,11,protein_coding
ENSMUSG00000018474,Chd3,11,protein_coding
ENSMUSG00000018476,Kdm6b,11,protein_coding
ENSMUSG00000018481,Appbp2,11,protein_coding
ENSMUSG00000018500,Adora2b,11,protein_coding
ENSMUSG00000018501,Ncor1,11,protein_coding
ENSMUSG00000018507,Trpv2,11,protein_coding
ENSMUSG00000018509,Cenpv,11,protein_coding
ENSMUSG00000018537,Pcgf2,11,protein_coding
ENSMUSG00000018541,Cwc25,11,protein_coding
ENSMUSG00000018547,Pip4k2b,11,protein_coding
ENSMUSG00000018548,Trim37,11,protein_coding
ENSMUSG00000018554,Ybx2,11,protein_coding
ENSMUSG00000018559,Ctdnep1,11,protein_coding
ENSMUSG00000018565,Elp5,11,protein_coding
ENSMUSG00000018566,Slc2a4,11,protein_coding
ENSMUSG00000018567,Gabarap,11,protein_coding
ENSMUSG00000018569,Cldn7,11,protein_coding
ENSMUSG00000018572,Phf23,11,protein_coding
ENSMUSG00000018574,Acadvl,11,protein_coding
ENSMUSG00000018581,Dnah11,12,protein_coding
ENSMUSG00000018583,G3bp1,11,protein_coding
ENSMUSG00000018585,Atox1,11,protein_coding
ENSMUSG00000018593,Sparc,11,protein_coding
ENSMUSG00000018599,Mief2,11,protein_coding
ENSMUSG00000018604,Tbx3,5,protein_coding
ENSMUSG00000018648,Dusp14,11,protein_coding
ENSMUSG00000018651,Tada2a,11,protein_coding
ENSMUSG00000018654,Ikzf1,11,protein_coding
ENSMUSG00000018656,Tcaf3,6,protein_coding
ENSMUSG00000018659,Pnpo,11,protein_coding
ENSMUSG00000018661,Cog1,11,protein_coding
ENSMUSG00000018666,Cbx1,11,protein_coding
ENSMUSG00000018669,Cdk5rap3,11,protein_coding
ENSMUSG00000018672,Copz2,11,protein_coding
ENSMUSG00000018677,Slc25a39,11,protein_coding
ENSMUSG00000018678,Sp2,11,protein_coding
ENSMUSG00000018697,Aatf,11,protein_coding
ENSMUSG00000018707,Dync1h1,12,protein_coding
ENSMUSG00000018727,Cpsf4l,11,protein_coding
ENSMUSG00000018733,Pex12,11,protein_coding
ENSMUSG00000018736,Ndel1,11,protein_coding
ENSMUSG00000018740,Slc25a35,11,protein_coding
ENSMUSG00000018750,Zbtb4,11,protein_coding
ENSMUSG00000018752,Tnfsfm13,11,protein_coding
ENSMUSG00000018761,Mpdu1,11,protein_coding
ENSMUSG00000018765,Fxr2,11,protein_coding
ENSMUSG00000018770,Atp5g3,2,protein_coding
ENSMUSG00000018774,Cd68,11,protein_coding
ENSMUSG00000018796,Acsl1,8,protein_coding
ENSMUSG00000018800,Abca5,11,protein_coding
ENSMUSG00000018809,Smyd4,11,protein_coding
ENSMUSG00000018819,Lsp1,7,protein_coding
ENSMUSG00000018820,Zfyve27,19,protein_coding
ENSMUSG00000018821,Avpi1,19,protein_coding
ENSMUSG00000018822,Sfrp5,19,protein_coding
ENSMUSG00000018830,Myh11,16,protein_coding
ENSMUSG00000018841,Rad51d,11,protein_coding
ENSMUSG00000018845,Unc45b,11,protein_coding
ENSMUSG00000018846,Pank3,11,protein_coding
ENSMUSG00000018848,Rars,11,protein_coding
ENSMUSG00000018849,Wwc1,11,protein_coding
ENSMUSG00000018858,Mrpl58,11,protein_coding
ENSMUSG00000018861,Fdxr,11,protein_coding
ENSMUSG00000018882,Mrpl45,11,protein_coding
ENSMUSG00000018893,Mb,15,protein_coding
ENSMUSG00000018899,Irf1,11,protein_coding
ENSMUSG00000018900,Slc22a5,11,protein_coding
ENSMUSG00000018906,P4ha2,11,protein_coding
ENSMUSG00000018909,Arrb1,7,protein_coding
ENSMUSG00000018920,Cxcl16,11,protein_coding
ENSMUSG00000018921,Pelp1,11,protein_coding
ENSMUSG00000018923,Med11,11,protein_coding
ENSMUSG00000018924,Alox15,11,protein_coding
ENSMUSG00000018925,Heatr9,11,protein_coding
ENSMUSG00000018927,Ccl6,11,protein_coding
ENSMUSG00000018930,Ccl4,11,protein_coding
ENSMUSG00000018931,Natd1,11,protein_coding
ENSMUSG00000018932,Map2k3,11,protein_coding
ENSMUSG00000018965,Ywhah,5,protein_coding
ENSMUSG00000018974,Sart3,5,protein_coding
ENSMUSG00000018983,E2f2,4,protein_coding
ENSMUSG00000018986,Slfn3,11,protein_coding
ENSMUSG00000018995,Nars2,7,protein_coding
ENSMUSG00000018999,Slc35b4,6,protein_coding
ENSMUSG00000019039,Dalrd3,9,protein_coding
ENSMUSG00000019054,Fis1,5,protein_coding
ENSMUSG00000019055,Plod1,4,protein_coding
ENSMUSG00000019066,Rab3d,9,protein_coding
ENSMUSG00000019080,Mfsd3,15,protein_coding
ENSMUSG00000019082,Slc25a22,7,protein_coding
ENSMUSG00000019087,Atp6ap1,X,protein_coding
ENSMUSG00000019088,Dnase1l1,X,protein_coding
ENSMUSG00000019102,Aldh3a1,11,protein_coding
ENSMUSG00000019122,Ccl9,11,protein_coding
ENSMUSG00000019124,Scrn1,6,protein_coding
ENSMUSG00000019132,BC005537,13,protein_coding
ENSMUSG00000019139,Isyna1,8,protein_coding
ENSMUSG00000019143,Hars2,18,protein_coding
ENSMUSG00000019158,Tmem160,7,protein_coding
ENSMUSG00000019173,Rab5c,11,protein_coding
ENSMUSG00000019178,Styxl1,5,protein_coding
ENSMUSG00000019179,Mdh2,5,protein_coding
ENSMUSG00000019188,H13,2,protein_coding
ENSMUSG00000019189,Rnf145,11,protein_coding
ENSMUSG00000019194,Scn1b,7,protein_coding
ENSMUSG00000019210,Atp6v1e1,6,protein_coding
ENSMUSG00000019235,Rps6kl1,12,protein_coding
ENSMUSG00000019254,Ppp1r12c,7,protein_coding
ENSMUSG00000019256,Ahr,12,protein_coding
ENSMUSG00000019261,Map1s,8,protein_coding
ENSMUSG00000019278,Dpep1,8,protein_coding
ENSMUSG00000019295,Tmem129,5,protein_coding
ENSMUSG00000019297,Nop9,14,protein_coding
ENSMUSG00000019301,Hsd17b1,11,protein_coding
ENSMUSG00000019302,Atp6v0a1,11,protein_coding
ENSMUSG00000019303,Psmc3ip,11,protein_coding
ENSMUSG00000019312,Grb7,11,protein_coding
ENSMUSG00000019320,Noxo1,17,protein_coding
ENSMUSG00000019326,Aoc3,11,protein_coding
ENSMUSG00000019338,Zfp687,3,protein_coding
ENSMUSG00000019362,D8Ertd738e,8,protein_coding
ENSMUSG00000019368,Sec14l4,11,protein_coding
ENSMUSG00000019370,Calm3,7,protein_coding
ENSMUSG00000019373,Cops3,11,protein_coding
ENSMUSG00000019428,Fkbp8,8,protein_coding
ENSMUSG00000019432,Ddx39b,17,protein_coding
ENSMUSG00000019433,Gipc1,8,protein_coding
ENSMUSG00000019437,Tlcd1,11,protein_coding
ENSMUSG00000019461,Plscr3,11,protein_coding
ENSMUSG00000019464,Ptger1,8,protein_coding
ENSMUSG00000019467,Arhgef25,10,protein_coding
ENSMUSG00000019470,Xab2,8,protein_coding
ENSMUSG00000019471,Cdc37,9,protein_coding
ENSMUSG00000019478,Rab4a,8,protein_coding
ENSMUSG00000019487,Trip10,17,protein_coding
ENSMUSG00000019494,Cops6,5,protein_coding
ENSMUSG00000019505,Ubb,11,protein_coding
ENSMUSG00000019518,Ap4m1,5,protein_coding
ENSMUSG00000019528,Gyg,3,protein_coding
ENSMUSG00000019539,Rcn3,7,protein_coding
ENSMUSG00000019558,Slc6a8,X,protein_coding
ENSMUSG00000019564,Arid3a,10,protein_coding
ENSMUSG00000019577,Pdk4,6,protein_coding
ENSMUSG00000019578,Ubxn6,17,protein_coding
ENSMUSG00000019579,Mydgf,17,protein_coding
ENSMUSG00000019590,Cyb561,11,protein_coding
ENSMUSG00000019647,Sema6a,18,protein_coding
ENSMUSG00000019659,Ccdc12,9,protein_coding
ENSMUSG00000019689,Fmc1,6,protein_coding
ENSMUSG00000019699,Akt3,1,protein_coding
ENSMUSG00000019710,Mrpl24,3,protein_coding
ENSMUSG00000019715,Gle1,2,protein_coding
ENSMUSG00000019718,L3hypdh,12,protein_coding
ENSMUSG00000019726,Lyst,13,protein_coding
ENSMUSG00000019731,Slc35e1,8,protein_coding
ENSMUSG00000019732,Calr3,8,protein_coding
ENSMUSG00000019734,Tmc4,7,protein_coding
ENSMUSG00000019738,Polr2i,7,protein_coding
ENSMUSG00000019761,Krt10,11,protein_coding
ENSMUSG00000019763,Rmnd1,10,protein_coding
ENSMUSG00000019767,Ccdc170,10,protein_coding
ENSMUSG00000019768,Esr1,10,protein_coding
ENSMUSG00000019773,Fbxo5,10,protein_coding
ENSMUSG00000019774,Mtrf1l,10,protein_coding
ENSMUSG00000019775,Rgs17,10,protein_coding
ENSMUSG00000019777,Hdac2,10,protein_coding
ENSMUSG00000019779,Frk,10,protein_coding
ENSMUSG00000019782,Rwdd1,10,protein_coding
ENSMUSG00000019787,Trdn,10,protein_coding
ENSMUSG00000019789,Hey2,10,protein_coding
ENSMUSG00000019790,Stxbp5,10,protein_coding
ENSMUSG00000019791,Hint3,10,protein_coding
ENSMUSG00000019792,Trmt11,10,protein_coding
ENSMUSG00000019794,Katna1,10,protein_coding
ENSMUSG00000019795,Pcmt1,10,protein_coding
ENSMUSG00000019796,Lrp11,10,protein_coding
ENSMUSG00000019797,Mtres1,10,protein_coding
ENSMUSG00000019802,Sec63,10,protein_coding
ENSMUSG00000019803,Nr2e1,10,protein_coding
ENSMUSG00000019804,Snx3,10,protein_coding
ENSMUSG00000019806,Aig1,10,protein_coding
ENSMUSG00000019808,Adat2,10,protein_coding
ENSMUSG00000019809,Pex3,10,protein_coding
ENSMUSG00000019810,Fuca2,10,protein_coding
ENSMUSG00000019813,Cep57l1,10,protein_coding
ENSMUSG00000019814,Ltv1,10,protein_coding
ENSMUSG00000019817,Plagl1,10,protein_coding
ENSMUSG00000019818,Cd164,10,protein_coding
ENSMUSG00000019820,Utrn,10,protein_coding
ENSMUSG00000019822,Smpd2,10,protein_coding
ENSMUSG00000019823,Mical1,10,protein_coding
ENSMUSG00000019826,Zbtb24,10,protein_coding
ENSMUSG00000019828,Grm1,10,protein_coding
ENSMUSG00000019831,Wasf1,10,protein_coding
ENSMUSG00000019832,Rab32,10,protein_coding
ENSMUSG00000019837,Gtf3c6,10,protein_coding
ENSMUSG00000019838,Slc16a10,10,protein_coding
ENSMUSG00000019841,Rev3l,10,protein_coding
ENSMUSG00000019842,Traf3ip2,10,protein_coding
ENSMUSG00000019843,Fyn,10,protein_coding
ENSMUSG00000019845,Tube1,10,protein_coding
ENSMUSG00000019846,Lama4,10,protein_coding
ENSMUSG00000019848,Popdc3,10,protein_coding
ENSMUSG00000019849,Prep,10,protein_coding
ENSMUSG00000019850,Tnfaip3,10,protein_coding
ENSMUSG00000019851,Perp,10,protein_coding
ENSMUSG00000019852,Arfgef3,10,protein_coding
ENSMUSG00000019853,Hebp2,10,protein_coding
ENSMUSG00000019854,Reps1,10,protein_coding
ENSMUSG00000019856,Fam184a,10,protein_coding
ENSMUSG00000019857,Asf1a,10,protein_coding
ENSMUSG00000019861,Gopc,10,protein_coding
ENSMUSG00000019863,Qrsl1,10,protein_coding
ENSMUSG00000019864,Rtn4ip1,10,protein_coding
ENSMUSG00000019865,Nmbr,10,protein_coding
ENSMUSG00000019866,Crybg1,10,protein_coding
ENSMUSG00000019868,Vta1,10,protein_coding
ENSMUSG00000019872,Smpdl3a,10,protein_coding
ENSMUSG00000019873,Reep3,10,protein_coding
ENSMUSG00000019874,Fabp7,10,protein_coding
ENSMUSG00000019876,Pkib,10,protein_coding
ENSMUSG00000019877,Serinc1,10,protein_coding
ENSMUSG00000019878,Hsf2,10,protein_coding
ENSMUSG00000019880,Rspo3,10,protein_coding
ENSMUSG00000019883,Echdc1,10,protein_coding
ENSMUSG00000019888,Mgat4c,10,protein_coding
ENSMUSG00000019889,Ptprk,10,protein_coding
ENSMUSG00000019890,Nts,10,protein_coding
ENSMUSG00000019891,Dcbld1,10,protein_coding
ENSMUSG00000019892,Lrriq1,10,protein_coding
ENSMUSG00000019893,Ros1,10,protein_coding
ENSMUSG00000019897,Ccdc59,10,protein_coding
ENSMUSG00000019899,Lama2,10,protein_coding
ENSMUSG00000019906,Lin7a,10,protein_coding
ENSMUSG00000019907,Ppp1r12a,10,protein_coding
ENSMUSG00000019913,Sim1,10,protein_coding
ENSMUSG00000019916,P4ha1,10,protein_coding
ENSMUSG00000019917,Septin10,10,protein_coding
ENSMUSG00000019920,Lims1,10,protein_coding
ENSMUSG00000019923,Zwint,10,protein_coding
ENSMUSG00000019927,Ube2d1,10,protein_coding
ENSMUSG00000019929,Dcn,10,protein_coding
ENSMUSG00000019933,Mrln,10,protein_coding
ENSMUSG00000019942,Cdk1,10,protein_coding
ENSMUSG00000019943,Atp2b1,10,protein_coding
ENSMUSG00000019944,Rhobtb1,10,protein_coding
ENSMUSG00000019945,Cabcoco1,10,protein_coding
ENSMUSG00000019947,Arid5b,10,protein_coding
ENSMUSG00000019948,Actr6,10,protein_coding
ENSMUSG00000019951,Uhrf1bp1l,10,protein_coding
ENSMUSG00000019952,Poc1b,10,protein_coding
ENSMUSG00000019960,Dusp6,10,protein_coding
ENSMUSG00000019961,Tmpo,10,protein_coding
ENSMUSG00000019966,Kitl,10,protein_coding
ENSMUSG00000019969,Psen1,12,protein_coding
ENSMUSG00000019970,Sgk1,10,protein_coding
ENSMUSG00000019971,Cep290,10,protein_coding
ENSMUSG00000019975,Ikbip,10,protein_coding
ENSMUSG00000019977,Hbs1l,10,protein_coding
ENSMUSG00000019978,Epb41l2,10,protein_coding
ENSMUSG00000019979,Apaf1,10,protein_coding
ENSMUSG00000019982,Myb,10,protein_coding
ENSMUSG00000019984,Med23,10,protein_coding
ENSMUSG00000019986,Ahi1,10,protein_coding
ENSMUSG00000019987,Arg1,10,protein_coding
ENSMUSG00000019988,Nedd1,10,protein_coding
ENSMUSG00000019989,Enpp3,10,protein_coding
ENSMUSG00000019990,Pde7b,10,protein_coding
ENSMUSG00000019992,Mtfr2,10,protein_coding
ENSMUSG00000019996,Map7,10,protein_coding
ENSMUSG00000019997,Ccn2,10,protein_coding
ENSMUSG00000019998,Stx7,10,protein_coding
ENSMUSG00000020000,Moxd1,10,protein_coding
ENSMUSG00000020003,Pex7,10,protein_coding
ENSMUSG00000020009,Ifngr1,10,protein_coding
ENSMUSG00000020010,Vnn3,10,protein_coding
ENSMUSG00000020014,Cfap54,10,protein_coding
ENSMUSG00000020015,Cdk17,10,protein_coding
ENSMUSG00000020018,Snrpf,10,protein_coding
ENSMUSG00000020019,Ntn4,10,protein_coding
ENSMUSG00000020020,Usp44,10,protein_coding
ENSMUSG00000020021,Fgd6,10,protein_coding
ENSMUSG00000020022,Ndufa12,10,protein_coding
ENSMUSG00000020023,Tmcc3,10,protein_coding
ENSMUSG00000020024,Cep83,10,protein_coding
ENSMUSG00000020027,Socs2,10,protein_coding
ENSMUSG00000020029,Nudt4,10,protein_coding
ENSMUSG00000020032,Nuak1,10,protein_coding
ENSMUSG00000020034,Tcp11l2,10,protein_coding
ENSMUSG00000020037,Rfx4,10,protein_coding
ENSMUSG00000020038,Cry1,10,protein_coding
ENSMUSG00000020042,Btbd11,10,protein_coding
ENSMUSG00000020044,Timp3,10,protein_coding
ENSMUSG00000020048,Hsp90b1,10,protein_coding
ENSMUSG00000020053,Igf1,10,protein_coding
ENSMUSG00000020056,Washc3,10,protein_coding
ENSMUSG00000020057,Dram1,10,protein_coding
ENSMUSG00000020059,Sycp3,10,protein_coding
ENSMUSG00000020061,Mybpc1,10,protein_coding
